Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Liton,Das,12,24.00,907,55.56,Right-hand bat,-,-,-,-,-,
Imrul,Kayes,36,25.44,3589,48.20,Left-hand bat,4.0,-,-,3.00,-,
Mominul,Haque,31,43.55,4193,56.09,Left-hand bat,72.1,70.25,108.2,3.89,lo,
Mohammad,Mithun,1,33.50,114,58.77,Right-hand bat,-,-,-,-,-,
Mushfiqur,Rahim,64,35.75,8474,46.83,Right-hand bat,-,-,-,-,-,
Taijul,Islam,21,8.93,631,42.47,Left-hand bat,896.0,32.64,61.7,3.16,lo,
Mahmudullah,,41,30.64,4297,52.05,Right-hand bat,552.3,46.19,80.8,3.42,rob,
Ariful,Haque,2,29.33,159,55.34,Right-hand bat,11.0,24.00,66.0,2.18,rmf,
Mehidy,Hasan Miraz,16,19.40,980,49.48,Right-hand bat,709.1,33.20,61.6,3.23,rob,
H,Masakadza,38,30.04,5009,44.38,Right-hand bat,194.0,30.56,72.7,2.52,rm,
BB,Chari,7,18.14,642,39.56,Right-hand bat,3.0,-,-,4.00,rob,
DT,Tiripano,7,20.63,769,29.51,Right-hand bat,207.4,46.61,95.8,2.91,rfm,
BRM,Taylor,28,35.38,3564,51.62,Right-hand bat,7.0,-,-,5.42,rob,
SC,Williams,10,27.65,1012,54.64,Left-hand bat,247.1,45.41,87.2,3.12,lo,
Sikandar,Raza,12,34.08,1496,54.67,Right-hand bat,283.5,49.45,85.1,3.48,rob,
PJ,Moor,8,35.53,1185,44.97,Right-hand bat,-,-,-,-,rob,
RW,Chakabva,14,26.07,1738,39.01,Right-hand bat,-,-,-,-,rob,
B,Mavuta,2,2.25,31,29.03,Right-hand bat,56.0,59.25,84.0,4.23,rls,
KM,Jarvis,12,10.50,364,34.61,Right-hand bat,381.3,27.60,49.7,3.32,rfm,
TL,Chatara,9,6.42,185,48.64,Right-hand bat,282.3,27.62,70.6,2.34,rfm,
Mustafizur,Rahman,11,3.80,108,35.18,Left-hand bat,289.3,33.18,64.3,3.09,lfm,
Khaled,Ahmed,1,-,-,-,Right-hand bat,30.0,-,-,3.10,rm,
