Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
KC,Brathwaite,14,38.24,2392,39.96,Right-hand bat,7.4,50.00,46.0,6.52,rob,
LR,Johnson,1,53.50,221,48.41,Left-hand bat,4.0,-,-,2.25,rls,
KA,Edwards,17,31.80,2052,48.05,Right-hand bat,4.0,-,-,4.75,rob,
DM,Bravo,32,43.60,4932,46.85,Left-hand bat,1.0,-,-,2.00,rm,
S,Chanderpaul,158,53.10,26849,43.51,Left-hand bat,290.0,98.11,193.3,3.04,rls,
J,Blackwood,3,49.00,262,56.10,Right-hand bat,20.0,34.50,60.0,3.45,rob,
D,Ramdin,61,27.17,4849,49.88,Right-hand bat,-,-,-,-,-,
KAJ,Roach,28,9.13,961,34.23,Right-hand bat,924.0,25.98,49.9,3.12,rfm,
JE,Taylor,34,15.34,1174,61.41,Right-hand bat,999.0,33.94,59.9,3.39,rf,
SJ,Benn,22,15.43,755,61.32,Left-hand bat,1032.1,35.60,78.3,2.72,lo,
ST,Gabriel,9,2.25,70,25.71,Right-hand bat,224.3,34.63,61.2,3.39,rf,
Tamim,Iqbal,34,36.89,4311,56.48,Left-hand bat,5.0,-,-,4.00,-,
Shamsur,Rahman,4,34.00,489,55.62,Right-hand bat,1.0,-,-,5.00,-,
Anamul,Haque,4,9.12,220,33.18,Right-hand bat,-,-,-,-,-,
Mominul,Haque,9,62.64,1547,56.69,Left-hand bat,44.1,167.00,265.0,3.78,lo,
Mushfiqur,Rahim,40,33.60,5109,46.03,Right-hand bat,-,-,-,-,-,
Mahmudullah,,20,28.36,1849,55.21,Right-hand bat,469.2,46.91,82.8,3.39,rob,
Nasir,Hossain,16,36.84,1697,56.45,Right-hand bat,143.3,51.62,107.6,2.87,rob,
Taijul,Islam,2,4.50,45,40.00,Left-hand bat,98.0,38.62,73.5,3.15,lo,
Shafiul,Islam,7,13.30,322,53.72,Right-hand bat,206.0,62.81,112.3,3.35,rfm,
Robiul,Islam,9,9.00,203,48.76,Right-hand bat,310.0,39.68,74.4,3.20,rfm,
Al-Amin,Hossain,5,29.50,88,67.04,Right-hand bat,138.4,73.00,138.6,3.15,rmf,
