Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
CJL,Rogers,8,31.80,1113,42.85,Left-hand bat,-,-,-,-,rls,
DA,Warner,24,41.12,2419,69.69,Left-hand bat,44.0,51.25,66.0,4.65,rls,
SR,Watson,48,35.36,6055,50.81,Right-hand bat,747.3,31.52,69.0,2.74,rfm,
MJ,Clarke,99,52.58,14129,56.19,Right-hand bat,385.0,37.63,77.0,2.93,lo,
SPD,Smith,14,33.00,1671,49.37,Right-hand bat,114.0,49.66,76.0,3.92,rls,
GJ,Bailey,2,30.00,168,53.57,Right-hand bat,-,-,-,-,rm,
BJ,Haddin,51,36.09,4826,57.58,Right-hand bat,-,-,-,-,-,
MG,Johnson,53,22.93,2592,58.41,Left-hand bat,1969.1,29.53,53.2,3.32,lf,
PM,Siddle,48,14.75,1889,46.85,Right-hand bat,1691.3,28.75,58.3,2.95,rfm,
RJ,Harris,18,20.83,618,60.67,Right-hand bat,615.1,22.06,46.7,2.83,rf,
NM,Lyon,27,14.55,699,37.48,Right-hand bat,999.5,33.29,65.9,3.03,rob,
AN,Cook,99,47.20,16828,46.84,Left-hand bat,1.0,-,-,1.00,-,
MA,Carberry,3,29.66,450,39.55,Left-hand bat,-,-,-,-,rob,
JE,Root,13,40.59,2196,40.66,Right-hand bat,48.0,44.33,96.0,2.77,rob,
KP,Pietersen,101,47.83,12869,62.07,Right-hand bat,214.3,86.90,128.7,4.05,rob,
IR,Bell,95,46.49,13322,49.55,Right-hand bat,18.0,76.00,108.0,4.22,rm,
BA,Stokes,1,14.50,102,28.43,Left-hand bat,25.0,45.00,75.0,3.60,rfm,
MJ,Prior,74,41.34,6245,62.22,Right-hand bat,-,-,-,-,-,
SCJ,Broad,64,24.30,3024,63.49,Left-hand bat,2230.1,30.21,58.6,3.08,rfm,
GP,Swann,59,22.08,1762,76.44,Right-hand bat,2514.1,29.67,59.8,2.97,rob,
JM,Anderson,89,10.44,2047,39.27,Left-hand bat,3282.2,30.39,58.9,3.09,rfm,
MS,Panesar,49,5.06,727,29.98,Left-hand bat,2062.2,34.56,74.5,2.78,lo,
