Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
CH,Gayle,98,42.25,11504,59.86,Left-hand bat,1149.5,42.00,95.8,2.62,rob,
KOA,Powell,16,30.44,1757,50.25,Left-hand bat,-,-,-,-,-,
DM,Bravo,24,43.82,3723,45.90,Left-hand bat,-,-,-,-,rm,
MN,Samuels,47,37.31,5805,48.85,Right-hand bat,519.3,50.91,91.6,3.33,rob,
S,Chanderpaul,149,51.89,25358,42.97,Left-hand bat,290.0,98.11,193.3,3.04,rls,
D,Ramdin,52,25.68,4105,48.18,Right-hand bat,-,-,-,-,-,
DJG,Sammy,34,22.00,1719,69.10,Right-hand bat,946.4,35.12,73.7,2.85,rm,
S,Shillingford,11,9.69,356,35.39,Right-hand bat,559.5,30.85,62.2,2.97,rob,
V,Permaul,3,9.25,55,67.27,Right-hand bat,99.4,32.00,59.8,3.21,lo,
TL,Best,21,14.29,595,57.64,Right-hand bat,517.1,38.10,64.6,3.53,rf,
SS,Cottrell,1,2.50,11,45.45,Right-hand bat,18.0,72.00,108.0,4.00,lfm,
S,Dhawan,2,105.00,208,100.96,Left-hand bat,-,-,-,-,rob,
M,Vijay,17,38.03,2204,48.32,Right-hand bat,-,-,-,-,rob,
CA,Pujara,14,63.00,2278,52.54,Right-hand bat,-,-,-,-,rls,
SR,Tendulkar,199,53.71,,,Right-hand bat,704.4,54.00,91.9,3.52,-,
V,Kohli,19,40.62,2508,46.96,Right-hand bat,11.0,-,-,3.18,rm,
RG,Sharma,1,177.00,301,58.80,Right-hand bat,-,-,-,-,rob,
MS,Dhoni,78,39.72,7073,60.10,Right-hand bat,13.0,-,-,4.46,rm,
R,Ashwin,17,41.11,1191,62.13,Right-hand bat,945.3,28.07,58.4,2.87,rob,
B,Kumar,5,23.00,215,42.79,Right-hand bat,84.0,36.50,63.0,3.47,rm,
Mohammed,Shami,1,1.00,7,14.28,Right-hand bat,30.1,13.11,20.1,3.91,rf,
PP,Ojha,23,9.88,491,18.12,Left-hand bat,1242.5,32.33,72.3,2.68,lo,
