Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MS,Atapattu,61,38.01,10,11,Right-hand bat,8.0,24.00,48.0,3.00,rls,
J,Mubarak,2,29.50,238,49.57,Left-hand bat,2.0,-,-,3.00,rob,
KC,Sangakkara,26,48.05,3666,51.11,Left-hand bat,-,-,-,-,rob,
DPMD,Jayawardene,47,47.87,6221,53.86,Right-hand bat,70.2,53.50,105.5,3.04,rm,
HP,Tillakaratne,73,44.23,10,18,Left-hand bat,11.4,-,-,2.05,rob,
RP,Arnold,43,28.63,4046,44.58,Left-hand bat,221.2,53.54,120.7,2.66,rob,
KHRK,Fernando,2,9.50,79,48.10,Right-hand bat,39.0,27.00,58.5,2.76,rmf,
WPUJC,Vaas,64,19.21,3503,41.67,Left-hand bat,2363.2,30.31,68.8,2.64,lfm,
MKGCP,Lakshitha,2,14.00,50,84.00,Right-hand bat,48.0,31.60,57.6,3.29,rfm,
CRD,Fernando,13,6.00,296,28.37,Right-hand bat,329.1,38.12,59.8,3.82,rfm,
M,Muralitharan,78,12.22,1108,67.32,Right-hand bat,4357.4,23.52,59.8,2.35,rob,
GC,Smith,6,47.33,724,58.83,Left-hand bat,4.0,-,-,3.00,rob,
HH,Gibbs,41,41.86,6033,46.49,Right-hand bat,-,-,-,-,-,
G,Kirsten,87,42.96,14260,42.48,Left-hand bat,56.1,70.50,168.5,2.51,rob,
JH,Kallis,64,50.00,11015,39.49,Right-hand bat,1424.3,28.34,63.7,2.66,rfm,
AG,Prince,7,16.81,503,36.77,Left-hand bat,-,-,-,-,rob,
ND,McKenzie,26,35.65,3489,40.87,Right-hand bat,9.0,-,-,6.00,rm,
MV,Boucher,56,29.83,3870,50.87,Right-hand bat,-,-,-,-,rm,
SM,Pollock,66,33.12,4820,49.48,Right-hand bat,2451.3,20.85,54.4,2.29,rfm,
AJ,Hall,4,28.80,285,50.52,Right-hand bat,62.1,27.28,53.2,3.07,rfm,
S,Elworthy,4,18.00,103,69.90,Right-hand bat,144.3,34.15,66.6,3.07,rfm,
M,Ntini,27,8.52,318,50.94,Right-hand bat,817.5,30.76,61.3,3.00,rf,
