Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Javed,Omar,9,25.47,1233,35.11,Right-hand bat,1.0,-,-,12.00,rls,
Al,Sahariar,9,19.11,751,45.80,Right-hand bat,-,-,-,-,rls,
Mehrab,Hossain,7,14.85,611,34.04,Right-hand bat,-,-,-,-,rm,
Habibul,Bashar,11,38.66,1433,56.66,Right-hand bat,13.0,-,-,5.61,rob,
Aminul,Islam,11,24.42,1460,35.13,Right-hand bat,33.0,149.00,198.0,4.51,rob,
Sanwar,Hossain,4,14.87,297,40.06,Right-hand bat,-,-,-,-,rob,
Enamul,Haque,6,15.00,302,39.73,Left-hand bat,235.4,53.25,117.8,2.71,lo,
Khaled,Mashud,10,14.64,650,31.53,Right-hand bat,-,-,-,-,-,
Fahim,Muntasir,2,11.00,67,65.67,Right-hand bat,59.0,80.00,118.0,4.06,rob,
Mohammad,Sharif,8,6.14,161,53.41,Right-hand bat,225.3,65.07,96.6,4.03,rmf,
Manjural,Islam,9,3.22,164,17.68,Left-hand bat,256.0,51.17,90.3,3.39,lfm,
Taufeeq,Umar,3,68.00,373,54.69,Left-hand bat,-,-,-,-,rob,
Shadab,Kabir,5,21.14,404,36.63,Left-hand bat,1.0,-,-,9.00,rob,
Younis,Khan,16,41.00,1812,52.04,Right-hand bat,33.0,115.00,198.0,3.48,-,
Inzamam-ul-Haq,,77,47.53,10322,52.04,Right-hand bat,1.3,-,-,5.33,lo,
Mohammad,Yousuf,35,47.37,5484,45.78,Right-hand bat,1.0,-,-,3.00,rob,
Abdul,Razzaq,17,32.21,1784,41.53,Right-hand bat,427.1,39.10,85.4,2.74,rfm,
Rashid,Latif,27,25.77,2028,44.47,Right-hand bat,2.0,-,-,5.00,rls,
Waqar,Younis,76,10.04,1807,45.60,Right-hand bat,2434.4,22.61,42.4,3.19,rf,
Saqlain,Mushtaq,37,16.13,2993,24.25,Right-hand bat,1822.4,28.75,69.2,2.49,rob,
Shoaib,Akhtar,17,6.41,340,32.05,Right-hand bat,508.4,34.80,61.0,3.42,rf,
Danish,Kaneria,5,15.00,38,39.47,Right-hand bat,185.4,17.06,38.4,2.66,rls,
