urlEnd,Team1,Team2,Venue,Country,StartDate
63932,ENG,PAK,Lord's,ENG,17 May 2001
63933,ENG,PAK,Manchester,ENG,31 May 2001
63936,ENG,AUS,Birmingham,ENG,5 Jul 2001
63937,ENG,AUS,Lord's,ENG,19 Jul 2001
63938,ENG,AUS,Nottingham,ENG,2 Aug 2001
63939,ENG,AUS,Leeds,ENG,16 Aug 2001
63940,ENG,AUS,The Oval,ENG,23 Aug 2001
63990,ENG,SRL,Lord's,ENG,16 May 2002
63991,ENG,SRL,Birmingham,ENG,30 May 2002
63992,ENG,SRL,Manchester,ENG,13 Jun 2002
63997,ENG,IND,Lord's,ENG,25 Jul 2002
63998,ENG,IND,Nottingham,ENG,8 Aug 2002
63999,ENG,IND,Leeds,ENG,22 Aug 2002
64000,ENG,IND,The Oval,ENG,5 Sep 2002
64032,ENG,ZIM,Lord's,ENG,22 May 2003
64033,ENG,ZIM,Chester-le-Street,ENG,5 Jun 2003
64038,ENG,RSA,Birmingham,ENG,24 Jul 2003
64039,ENG,RSA,Lord's,ENG,31 Jul 2003
64040,ENG,RSA,Nottingham,ENG,14 Aug 2003
64041,ENG,RSA,Leeds,ENG,21 Aug 2003
64042,ENG,RSA,The Oval,ENG,4 Sep 2003
64086,ENG,NZL,Lord's,ENG,20 May 2004
64087,ENG,NZL,Leeds,ENG,3 Jun 2004
64088,ENG,NZL,Nottingham,ENG,10 Jun 2004
64093,ENG,WIN,Lord's,ENG,22 Jul 2004
64094,ENG,WIN,Birmingham,ENG,29 Jul 2004
64095,ENG,WIN,Manchester,ENG,12 Aug 2004
64096,ENG,WIN,The Oval,ENG,19 Aug 2004
209929,ENG,BAN,Lord's,ENG,26 May 2005
210366,ENG,BAN,Chester-le-Street,ENG,3 Jun 2005
213856,ENG,AUS,Lord's,ENG,21 Jul 2005
215010,ENG,AUS,Birmingham,ENG,4 Aug 2005
215686,ENG,AUS,Manchester,ENG,11 Aug 2005
216994,ENG,AUS,Nottingham,ENG,25 Aug 2005
218383,ENG,AUS,The Oval,ENG,8 Sep 2005
225264,ENG,SRL,Lord's,ENG,11 May 2006
225265,ENG,SRL,Birmingham,ENG,25 May 2006
225266,ENG,SRL,Nottingham,ENG,2 Jun 2006
225255,ENG,PAK,Lord's,ENG,13 Jul 2006
225256,ENG,PAK,Manchester,ENG,27 Jul 2006
225257,ENG,PAK,Leeds,ENG,4 Aug 2006
225258,ENG,PAK,The Oval,ENG,17 Aug 2006
258459,ENG,WIN,Lord's,ENG,17 May 2007
258460,ENG,WIN,Leeds,ENG,25 May 2007
258461,ENG,WIN,Manchester,ENG,7 Jun 2007
258462,ENG,WIN,Chester-le-Street,ENG,15 Jun 2007
258468,ENG,IND,Lord's,ENG,19 Jul 2007
258469,ENG,IND,Nottingham,ENG,27 Jul 2007
258470,ENG,IND,The Oval,ENG,9 Aug 2007
296900,ENG,NZL,Lord's,ENG,15 May 2008
296901,ENG,NZL,Manchester,ENG,23 May 2008
296902,ENG,NZL,Nottingham,ENG,5 Jun 2008
296909,ENG,RSA,Lord's,ENG,10 Jul 2008
296910,ENG,RSA,Leeds,ENG,18 Jul 2008
296911,ENG,RSA,Birmingham,ENG,30 Jul 2008
296912,ENG,RSA,The Oval,ENG,7 Aug 2008
380712,ENG,WIN,Lord's,ENG,6 May 2009
380713,ENG,WIN,Chester-le-Street,ENG,14 May 2009
345970,ENG,AUS,Cardiff,ENG,8 Jul 2009
345971,ENG,AUS,Lord's,ENG,16 Jul 2009
345972,ENG,AUS,Birmingham,ENG,30 Jul 2009
345973,ENG,AUS,Leeds,ENG,7 Aug 2009
345974,ENG,AUS,The Oval,ENG,20 Aug 2009
426401,ENG,BAN,Lord's,ENG,27 May 2010
426402,ENG,BAN,Manchester,ENG,4 Jun 2010
426394,AUS,PAK,Lord's,ENG,13 Jul 2010
426395,AUS,PAK,Leeds,ENG,21 Jul 2010
426413,ENG,PAK,Nottingham,ENG,29 Jul 2010
426414,ENG,PAK,Birmingham,ENG,6 Aug 2010
426415,ENG,PAK,The Oval,ENG,18 Aug 2010
426416,ENG,PAK,Lord's,ENG,26 Aug 2010
474463,ENG,SRL,Cardiff,ENG,26 May 2011
474464,ENG,SRL,Lord's,ENG,3 Jun 2011
474465,ENG,SRL,Southampton,ENG,16 Jun 2011
474472,ENG,IND,Lord's,ENG,21 Jul 2011
474473,ENG,IND,Nottingham,ENG,29 Jul 2011
474474,ENG,IND,Birmingham,ENG,10 Aug 2011
474475,ENG,IND,The Oval,ENG,18 Aug 2011
534205,ENG,WIN,Lord's,ENG,17 May 2012
534206,ENG,WIN,Nottingham,ENG,25 May 2012
534207,ENG,WIN,Birmingham,ENG,7 Jun 2012
534225,ENG,RSA,The Oval,ENG,19 Jul 2012
