outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bowl_balls,bowl_runs,bowl_wkts,bowl_avg
0,1,0,0,0,0,0,12.21,0,0,0,19.87
0,1,0,0,0,0,1,12.21,1,0,0,19.87
4,1,0,0,0,0,2,12.21,2,0,0,19.87
1,1,0,4,4,4,3,12.21,3,4,0,19.87
0,1,0,5,5,0,0,22.76,4,5,0,19.87
0,1,0,5,5,0,1,22.76,5,5,0,19.87
4b,1,0,5,5,5,4,12.21,0,0,0,51.52
1,1,0,9,9,5,5,12.21,1,0,0,51.52
0,1,0,10,10,0,2,22.76,2,1,0,51.52
1,1,0,10,10,0,3,22.76,3,1,0,51.52
4,1,0,11,11,6,6,12.21,4,2,0,51.52
1,1,0,15,15,10,7,12.21,5,6,0,51.52
