outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bowl_balls,bowl_runs,bowl_wkts,bowl_avg
0,1,0,0,0,0,0,29.5,0,0,0,28.67
1lb,1,0,0,0,0,1,29.5,1,0,0,28.67
0,1,0,1,1,0,0,46.8,2,0,0,28.67
W,1,0,1,1,0,1,46.8,3,0,0,28.67
1,1,1,1,1,0,0,38.45,4,0,1,28.67
0,1,1,2,2,0,2,29.5,5,1,1,28.67
0,1,1,2,2,1,1,38.45,0,0,0,13.53
1lb,1,1,2,2,1,2,38.45,1,0,0,13.53
0,1,1,3,3,0,3,29.5,2,0,0,13.53
1,1,1,3,3,0,4,29.5,3,0,0,13.53
0,1,1,4,4,1,3,38.45,4,1,0,13.53
0,1,1,4,4,1,4,38.45,5,1,0,13.53
4,1,1,4,4,1,5,29.5,6,1,1,28.67
0,1,1,8,8,5,6,29.5,7,5,1,28.67
1,1,1,8,8,5,7,29.5,8,5,1,28.67
0,1,1,9,9,1,5,38.45,9,6,1,28.67
4,1,1,9,9,1,6,38.45,10,6,1,28.67
0,1,1,13,13,5,7,38.45,11,10,1,28.67
0,1,1,13,13,6,8,29.5,6,1,0,13.53
0,1,1,13,13,6,9,29.5,7,1,0,13.53
0,1,1,13,13,6,10,29.5,8,1,0,13.53
2,1,1,13,13,6,11,29.5,9,1,0,13.53
0,1,1,15,15,8,12,29.5,10,3,0,13.53
0,1,1,15,15,8,13,29.5,11,3,0,13.53
0,1,1,15,15,5,8,38.45,12,10,1,28.67
0,1,1,15,15,5,9,38.45,13,10,1,28.67
0,1,1,15,15,5,10,38.45,14,10,1,28.67
0,1,1,15,15,5,11,38.45,15,10,1,28.67
0,1,1,15,15,5,12,38.45,16,10,1,28.67
0,1,1,15,15,5,13,38.45,17,10,1,28.67
2,1,1,15,15,8,14,29.5,12,3,0,13.53
0,1,1,17,17,10,15,29.5,13,5,0,13.53
4b,1,1,17,17,10,16,29.5,14,5,0,13.53
1,1,1,21,21,10,17,29.5,15,5,0,13.53
0,1,1,22,22,5,14,38.45,16,6,0,13.53
4,1,1,22,22,5,15,38.45,17,6,0,13.53
0,1,1,26,26,11,18,29.5,18,10,1,28.67
2,1,1,26,26,11,19,29.5,19,10,1,28.67
0,1,1,28,28,13,20,29.5,20,12,1,28.67
0,1,1,28,28,13,21,29.5,21,12,1,28.67
0,1,1,28,28,13,22,29.5,22,12,1,28.67
W,1,1,28,28,13,23,29.5,23,12,1,28.67
0,1,2,28,28,9,16,38.45,18,10,0,13.53
1,1,2,28,28,9,17,38.45,19,10,0,13.53
0,1,2,29,29,0,0,63.24,20,11,0,13.53
0,1,2,29,29,0,1,63.24,21,11,0,13.53
0,1,2,29,29,0,2,63.24,22,11,0,13.53
0,1,2,29,29,0,3,63.24,23,11,0,13.53
0,1,2,29,29,10,18,38.45,24,12,2,28.67
0,1,2,29,29,10,19,38.45,25,12,2,28.67
0,1,2,29,29,10,20,38.45,26,12,2,28.67
0,1,2,29,29,10,21,38.45,27,12,2,28.67
0,1,2,29,29,10,22,38.45,28,12,2,28.67
0,1,2,29,29,10,23,38.45,29,12,2,28.67
4,1,2,29,29,0,4,63.24,24,11,0,13.53
1lb,1,2,33,33,4,5,63.24,25,15,0,13.53
0,1,2,34,34,10,24,38.45,26,15,0,13.53
0,1,2,34,34,10,25,38.45,27,15,0,13.53
1,1,2,34,34,10,26,38.45,28,15,0,13.53
0,1,2,35,35,4,6,63.24,29,16,0,13.53
0,1,2,35,35,11,27,38.45,30,12,2,28.67
0,1,2,35,35,11,28,38.45,31,12,2,28.67
1,1,2,35,35,11,29,38.45,32,12,2,28.67
