outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bowl_balls,bowl_runs,bowl_wkts,bowl_avg
0,3,0,0,6,0,0,32.62,0,0,0,19.87
1,3,0,0,6,0,0,22.76,0,0,0,44.77
2,3,0,1,7,0,1,32.62,1,1,0,44.77
1w,3,0,3,9,2,2,32.62,2,3,0,44.77
1w,3,0,4,10,2,2,32.62,3,4,0,44.77
2,3,0,5,11,2,2,32.62,4,5,0,44.77
1,3,0,7,13,4,3,32.62,5,7,0,44.77
1lb,3,0,8,14,1,1,22.76,6,8,0,44.77
