outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bat_arm,bowl_balls,bowl_runs,bowl_wkts,bowl_avg,bowl_type
0,1,0,0,0,0,0,27.8,0,0,0,0,26.94,2
0,1,0,0,0,0,1,27.8,0,1,0,0,26.94,2
0,1,0,0,0,0,0,47.55,1,0,0,0,28.78,2
0,1,0,0,0,0,1,47.55,1,1,0,0,28.78,2
0,1,0,0,0,0,2,47.55,1,2,0,0,28.78,2
1,1,0,0,0,0,3,47.55,1,3,0,0,28.78,2
0,1,0,1,1,0,2,27.8,0,4,1,0,28.78,2
0,1,0,1,1,0,3,27.8,0,5,1,0,28.78,2
0,1,0,1,1,1,4,47.55,1,2,0,0,26.94,2
0,1,0,1,1,1,5,47.55,1,3,0,0,26.94,2
0,1,0,1,1,1,6,47.55,1,4,0,0,26.94,2
0,1,0,1,1,1,7,47.55,1,5,0,0,26.94,2
1,1,0,1,1,1,8,47.55,1,6,0,0,26.94,2
0,1,0,2,2,0,4,27.8,0,7,1,0,26.94,2
0,1,0,2,2,2,9,47.55,1,6,1,0,28.78,2
0,1,0,2,2,2,10,47.55,1,7,1,0,28.78,2
0,1,0,2,2,2,11,47.55,1,8,1,0,28.78,2
0,1,0,2,2,2,12,47.55,1,9,1,0,28.78,2
W,1,0,2,2,2,13,47.55,1,10,1,0,28.78,2
0,1,1,2,2,0,0,42.05,1,11,1,1,28.78,2
0,1,1,2,2,0,5,27.8,0,8,1,0,26.94,2
1lb,1,1,2,2,0,6,27.8,0,9,1,0,26.94,2
0,1,1,3,3,0,1,42.05,1,10,1,0,26.94,2
0,1,1,3,3,0,2,42.05,1,11,1,0,26.94,2
0,1,1,3,3,0,3,42.05,1,12,1,0,26.94,2
0,1,1,3,3,0,4,42.05,1,13,1,0,26.94,2
0,1,1,3,3,0,7,27.8,0,12,1,1,28.78,2
4,1,1,3,3,0,8,27.8,0,13,1,1,28.78,2
0,1,1,7,7,4,9,27.8,0,14,5,1,28.78,2
0,1,1,7,7,4,10,27.8,0,15,5,1,28.78,2
1lb,1,1,7,7,4,11,27.8,0,16,5,1,28.78,2
4,1,1,8,8,0,5,42.05,1,17,5,1,28.78,2
0,1,1,12,12,4,12,27.8,0,14,1,0,26.94,2
0,1,1,12,12,4,13,27.8,0,15,1,0,26.94,2
0,1,1,12,12,4,14,27.8,0,16,1,0,26.94,2
0,1,1,12,12,4,15,27.8,0,17,1,0,26.94,2
0,1,1,12,12,4,16,27.8,0,18,1,0,26.94,2
1lb,1,1,12,12,4,17,27.8,0,19,1,0,26.94,2
0,1,1,13,13,4,18,27.8,0,18,9,1,28.78,2
4,1,1,13,13,4,19,27.8,0,19,9,1,28.78,2
W,1,1,17,17,8,20,27.8,0,20,13,1,28.78,2
0,1,2,17,17,0,0,62.96,0,21,13,2,28.78,2
0,1,2,17,17,0,1,62.96,0,22,13,2,28.78,2
0,1,2,17,17,0,2,62.96,0,23,13,2,28.78,2
0,1,2,17,17,4,6,42.05,1,0,0,0,30.81,2
0,1,2,17,17,4,7,42.05,1,1,0,0,30.81,2
0,1,2,17,17,4,8,42.05,1,2,0,0,30.81,2
0,1,2,17,17,4,9,42.05,1,3,0,0,30.81,2
0,1,2,17,17,4,10,42.05,1,4,0,0,30.81,2
0,1,2,17,17,4,11,42.05,1,5,0,0,30.81,2
0,1,2,17,17,0,3,62.96,0,24,13,2,28.78,2
0,1,2,17,17,0,4,62.96,0,25,13,2,28.78,2
0,1,2,17,17,0,5,62.96,0,26,13,2,28.78,2
0,1,2,17,17,0,6,62.96,0,27,13,2,28.78,2
