outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bowl_balls,bowl_runs,bowl_wkts,bowl_avg
0,2,0,0,-16,0,0,33.07,0,0,0,32.44
0,2,0,0,-16,0,1,33.07,1,0,0,32.44
0,2,0,0,-16,0,2,33.07,2,0,0,32.44
0,2,0,0,-16,0,3,33.07,3,0,0,32.44
1,2,0,0,-16,0,4,33.07,4,0,0,32.44
0,2,0,1,-15,0,0,19.11,5,1,0,32.44
0,2,0,1,-15,1,5,33.07,0,0,0,28.26
2,2,0,1,-15,1,6,33.07,1,0,0,28.26
2,2,0,3,-13,3,7,33.07,2,2,0,28.26
4,2,0,5,-11,5,8,33.07,3,4,0,28.26
1,2,0,9,-7,9,9,33.07,4,8,0,28.26
0,2,0,10,-6,0,1,19.11,5,9,0,28.26
0,2,0,10,-6,10,10,33.07,0,0,0,21.08
0,2,0,10,-6,10,11,33.07,1,0,0,21.08
0,2,0,10,-6,10,12,33.07,2,0,0,21.08
0,2,0,10,-6,10,13,33.07,3,0,0,21.08
0,2,0,10,-6,10,14,33.07,4,0,0,21.08
W,2,0,10,-6,10,15,33.07,5,0,0,21.08
