outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bat_arm,bowl_balls,bowl_runs,bowl_wkts,bowl_avg,bowl_type
0,2,0,0,-375,0,0,32.81,1,0,0,0,30.01,1
0,2,0,0,-375,0,1,32.81,1,1,0,0,30.01,1
0,2,0,0,-375,0,2,32.81,1,2,0,0,30.01,1
0,2,0,0,-375,0,3,32.81,1,3,0,0,30.01,1
0,2,0,0,-375,0,4,32.81,1,4,0,0,30.01,1
0,2,0,0,-375,0,5,32.81,1,5,0,0,30.01,1
0,2,0,0,-375,0,6,32.81,1,6,0,0,30.01,1
0,2,0,0,-375,0,7,32.81,1,7,0,0,30.01,1
0,2,0,0,-375,0,0,12.66,0,0,0,0,48.46,2
0,2,0,0,-375,0,1,12.66,0,1,0,0,48.46,2
0,2,0,0,-375,0,2,12.66,0,2,0,0,48.46,2
0,2,0,0,-375,0,3,12.66,0,3,0,0,48.46,2
0,2,0,0,-375,0,4,12.66,0,4,0,0,48.46,2
0,2,0,0,-375,0,5,12.66,0,5,0,0,48.46,2
1,2,0,0,-375,0,6,12.66,0,6,0,0,48.46,2
0,2,0,1,-374,0,8,32.81,1,7,1,0,48.46,2
0,2,0,1,-374,1,7,12.66,0,8,0,0,30.01,1
0,2,0,1,-374,1,8,12.66,0,9,0,0,30.01,1
0,2,0,1,-374,1,9,12.66,0,10,0,0,30.01,1
0,2,0,1,-374,1,10,12.66,0,11,0,0,30.01,1
1lb,2,0,1,-374,1,11,12.66,0,12,0,0,30.01,1
1lb,2,0,2,-373,1,12,12.66,0,13,0,0,30.01,1
0,2,0,3,-372,0,9,32.81,1,14,0,0,30.01,1
4,2,0,3,-372,0,10,32.81,1,15,0,0,30.01,1
0,2,0,7,-368,1,13,12.66,0,8,1,0,48.46,2
0,2,0,7,-368,1,14,12.66,0,9,1,0,48.46,2
0,2,0,7,-368,1,15,12.66,0,10,1,0,48.46,2
0,2,0,7,-368,1,16,12.66,0,11,1,0,48.46,2
0,2,0,7,-368,1,17,12.66,0,12,1,0,48.46,2
0,2,0,7,-368,1,18,12.66,0,13,1,0,48.46,2
1,2,0,7,-368,1,19,12.66,0,14,1,0,48.46,2
0,2,0,8,-367,4,11,32.81,1,15,2,0,48.46,2
