outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bat_arm,bowl_balls,bowl_runs,bowl_wkts,bowl_avg,bowl_type
1,1,0,0,0,0,0,32.29,1,0,0,0,28.77,2
2,1,0,1,1,0,0,44.02,1,1,1,0,28.77,2
4,1,0,3,3,2,1,44.02,1,2,3,0,28.77,2
0,1,0,7,7,6,2,44.02,1,3,7,0,28.77,2
0,1,0,7,7,6,3,44.02,1,4,7,0,28.77,2
0,1,0,7,7,6,4,44.02,1,5,7,0,28.77,2
0,1,0,7,7,1,1,32.29,1,0,0,0,27.29,3
0,1,0,7,7,1,2,32.29,1,1,0,0,27.29,3
1,1,0,7,7,1,3,32.29,1,2,0,0,27.29,3
0,1,0,8,8,6,5,44.02,1,3,1,0,27.29,3
0,1,0,8,8,6,6,44.02,1,4,1,0,27.29,3
0,1,0,8,8,6,7,44.02,1,5,1,0,27.29,3
0,1,0,8,8,2,4,32.29,1,6,7,0,28.77,2
0,1,0,8,8,2,5,32.29,1,7,7,0,28.77,2
2,1,0,8,8,2,6,32.29,1,8,7,0,28.77,2
0,1,0,10,10,4,7,32.29,1,9,9,0,28.77,2
0,1,0,10,10,4,8,32.29,1,10,9,0,28.77,2
0,1,0,10,10,4,9,32.29,1,11,9,0,28.77,2
0,1,0,10,10,6,8,44.02,1,6,1,0,27.29,3
0,1,0,10,10,6,9,44.02,1,7,1,0,27.29,3
0,1,0,10,10,6,10,44.02,1,8,1,0,27.29,3
0,1,0,10,10,6,11,44.02,1,9,1,0,27.29,3
0,1,0,10,10,6,12,44.02,1,10,1,0,27.29,3
0,1,0,10,10,6,13,44.02,1,11,1,0,27.29,3
0,1,0,10,10,4,10,32.29,1,12,9,0,28.77,2
0,1,0,10,10,4,11,32.29,1,13,9,0,28.77,2
0,1,0,10,10,4,12,32.29,1,14,9,0,28.77,2
1,1,0,10,10,4,13,32.29,1,15,9,0,28.77,2
1,1,0,11,11,6,14,44.02,1,16,10,0,28.77,2
0,1,0,12,12,5,14,32.29,1,17,11,0,28.77,2
0,1,0,12,12,7,15,44.02,1,12,1,0,27.29,3
0,1,0,12,12,7,16,44.02,1,13,1,0,27.29,3
0,1,0,12,12,7,17,44.02,1,14,1,0,27.29,3
4,1,0,12,12,7,18,44.02,1,15,1,0,27.29,3
0,1,0,16,16,11,19,44.02,1,16,5,0,27.29,3
0,1,0,16,16,11,20,44.02,1,17,5,0,27.29,3
0,1,0,16,16,5,15,32.29,1,18,11,0,28.77,2
0,1,0,16,16,5,16,32.29,1,19,11,0,28.77,2
0,1,0,16,16,5,17,32.29,1,20,11,0,28.77,2
0,1,0,16,16,5,18,32.29,1,21,11,0,28.77,2
0,1,0,16,16,5,19,32.29,1,22,11,0,28.77,2
W,1,0,16,16,5,20,32.29,1,23,11,0,28.77,2
0,1,1,16,16,11,21,44.02,1,18,5,0,27.29,3
0,1,1,16,16,11,22,44.02,1,19,5,0,27.29,3
0,1,1,16,16,11,23,44.02,1,20,5,0,27.29,3
0,1,1,16,16,11,24,44.02,1,21,5,0,27.29,3
0,1,1,16,16,11,25,44.02,1,22,5,0,27.29,3
1,1,1,16,16,11,26,44.02,1,23,5,0,27.29,3
0,1,1,17,17,12,27,44.02,1,24,11,1,28.77,2
0,1,1,17,17,12,28,44.02,1,25,11,1,28.77,2
0,1,1,17,17,12,29,44.02,1,26,11,1,28.77,2
0,1,1,17,17,12,30,44.02,1,27,11,1,28.77,2
0,1,1,17,17,12,31,44.02,1,28,11,1,28.77,2
0,1,1,17,17,12,32,44.02,1,29,11,1,28.77,2
0,1,1,17,17,0,0,52.68,0,0,0,0,30.96,2
0,1,1,17,17,0,1,52.68,0,1,0,0,30.96,2
3,1,1,17,17,0,2,52.68,0,2,0,0,30.96,2
0,1,1,20,20,12,33,44.02,1,3,3,0,30.96,2
0,1,1,20,20,12,34,44.02,1,4,3,0,30.96,2
0,1,1,20,20,12,35,44.02,1,5,3,0,30.96,2
0,1,1,20,20,3,3,52.68,0,0,0,0,31.37,7
0,1,1,20,20,3,4,52.68,0,1,0,0,31.37,7
0,1,1,20,20,3,5,52.68,0,2,0,0,31.37,7
0,1,1,20,20,3,6,52.68,0,3,0,0,31.37,7
0,1,1,20,20,3,7,52.68,0,4,0,0,31.37,7
0,1,1,20,20,3,8,52.68,0,5,0,0,31.37,7
4,1,1,20,20,12,36,44.02,1,6,3,0,30.96,2
5,1,1,24,24,16,37,44.02,1,7,7,0,30.96,2
0,1,1,29,29,3,9,52.68,0,8,12,0,30.96,2
0,1,1,29,29,3,10,52.68,0,9,12,0,30.96,2
0,1,1,29,29,3,11,52.68,0,10,12,0,30.96,2
0,1,1,29,29,3,12,52.68,0,11,12,0,30.96,2
0,1,1,29,29,21,38,44.02,1,6,0,0,31.37,7
4,1,1,29,29,21,39,44.02,1,7,0,0,31.37,7
4,1,1,33,33,25,40,44.02,1,8,4,0,31.37,7
0,1,1,37,37,29,41,44.02,1,9,8,0,31.37,7
1,1,1,37,37,29,42,44.02,1,10,8,0,31.37,7
1,1,1,38,38,3,13,52.68,0,11,9,0,31.37,7
0,1,1,39,39,4,14,52.68,0,12,12,0,30.96,2
0,1,1,39,39,4,15,52.68,0,13,12,0,30.96,2
0,1,1,39,39,4,16,52.68,0,14,12,0,30.96,2
0,1,1,39,39,4,17,52.68,0,15,12,0,30.96,2
0,1,1,39,39,4,18,52.68,0,16,12,0,30.96,2
W,1,1,39,39,4,19,52.68,0,17,12,0,30.96,2
0,1,2,39,39,30,43,44.02,1,12,10,0,31.37,7
0,1,2,39,39,30,44,44.02,1,13,10,0,31.37,7
0,1,2,39,39,30,45,44.02,1,14,10,0,31.37,7
0,1,2,39,39,30,46,44.02,1,15,10,0,31.37,7
0,1,2,39,39,30,47,44.02,1,16,10,0,31.37,7
2,1,2,39,39,30,48,44.02,1,17,10,0,31.37,7
0,1,2,41,41,0,0,47.12,0,18,12,1,30.96,2
1,1,2,41,41,0,1,47.12,0,19,12,1,30.96,2
0,1,2,42,42,32,49,44.02,1,20,13,1,30.96,2
1lb,1,2,42,42,32,50,44.02,1,21,13,1,30.96,2
0,1,2,43,43,1,2,47.12,0,22,13,1,30.96,2
0,1,2,43,43,1,3,47.12,0,23,13,1,30.96,2
0,1,2,43,43,32,51,44.02,1,30,11,1,28.77,2
0,1,2,43,43,32,52,44.02,1,31,11,1,28.77,2
1,1,2,43,43,32,53,44.02,1,32,11,1,28.77,2
4,1,2,44,44,1,4,47.12,0,33,12,1,28.77,2
2,1,2,48,48,5,5,47.12,0,34,16,1,28.77,2
1,1,2,50,50,7,6,47.12,0,35,18,1,28.77,2
0,1,2,51,51,8,7,47.12,0,24,13,1,30.96,2
0,1,2,51,51,8,8,47.12,0,25,13,1,30.96,2
1,1,2,51,51,8,9,47.12,0,26,13,1,30.96,2
0,1,2,52,52,33,54,44.02,1,27,14,1,30.96,2
0,1,2,52,52,33,55,44.02,1,28,14,1,30.96,2
0,1,2,52,52,33,56,44.02,1,29,14,1,30.96,2
0,1,2,52,52,9,10,47.12,0,36,19,1,28.77,2
0,1,2,52,52,9,11,47.12,0,37,19,1,28.77,2
0,1,2,52,52,9,12,47.12,0,38,19,1,28.77,2
1,1,2,52,52,9,13,47.12,0,39,19,1,28.77,2
2,1,2,53,53,33,57,44.02,1,40,20,1,28.77,2
0,1,2,55,55,35,58,44.02,1,41,22,1,28.77,2
4,1,2,55,55,10,14,47.12,0,24,6,0,27.29,3
0,1,2,59,59,14,15,47.12,0,25,10,0,27.29,3
0,1,2,59,59,14,16,47.12,0,26,10,0,27.29,3
0,1,2,59,59,14,17,47.12,0,27,10,0,27.29,3
4b,1,2,59,59,14,18,47.12,0,28,10,0,27.29,3
0,1,2,63,63,14,19,47.12,0,29,10,0,27.29,3
0,1,2,63,63,35,59,44.02,1,42,22,1,28.77,2
1,1,2,63,63,35,60,44.02,1,43,22,1,28.77,2
0,1,2,64,64,14,20,47.12,0,44,23,1,28.77,2
1,1,2,64,64,14,21,47.12,0,45,23,1,28.77,2
0,1,2,65,65,36,61,44.02,1,46,24,1,28.77,2
1,1,2,65,65,36,62,44.02,1,47,24,1,28.77,2
0,1,2,66,66,37,63,44.02,1,30,10,0,27.29,3
0,1,2,66,66,37,64,44.02,1,31,10,0,27.29,3
1,1,2,66,66,37,65,44.02,1,32,10,0,27.29,3
0,1,2,67,67,15,22,47.12,0,33,11,0,27.29,3
0,1,2,67,67,15,23,47.12,0,34,11,0,27.29,3
0,1,2,67,67,15,24,47.12,0,35,11,0,27.29,3
2,1,2,67,67,38,66,44.02,1,18,12,0,31.37,7
0,1,2,69,69,40,67,44.02,1,19,14,0,31.37,7
0,1,2,69,69,40,68,44.02,1,20,14,0,31.37,7
0,1,2,69,69,40,69,44.02,1,21,14,0,31.37,7
0,1,2,69,69,40,70,44.02,1,22,14,0,31.37,7
0,1,2,69,69,40,71,44.02,1,23,14,0,31.37,7
0,1,2,69,69,15,25,47.12,0,36,11,0,27.29,3
0,1,2,69,69,15,26,47.12,0,37,11,0,27.29,3
0,1,2,69,69,15,27,47.12,0,38,11,0,27.29,3
0,1,2,69,69,15,28,47.12,0,39,11,0,27.29,3
0,1,2,69,69,15,29,47.12,0,40,11,0,27.29,3
0,1,2,69,69,15,30,47.12,0,41,11,0,27.29,3
0,1,2,69,69,40,72,44.02,1,24,14,0,31.37,7
0,1,2,69,69,40,73,44.02,1,25,14,0,31.37,7
