outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bat_arm,bowl_balls,bowl_runs,bowl_wkts,bowl_avg,bowl_type
0,4,0,0,-400,0,0,28.5,1,0,0,0,30.37,2
0,4,0,0,-400,0,1,28.5,1,1,0,0,30.37,2
0,4,0,0,-400,0,2,28.5,1,2,0,0,30.37,2
0,4,0,0,-400,0,0,28.75,0,0,0,0,31.87,4
1,4,0,0,-400,0,1,28.75,0,1,0,0,31.87,4
3,4,0,1,-399,0,3,28.5,1,2,1,0,31.87,4
0,4,0,4,-396,1,2,28.75,0,3,4,0,31.87,4
0,4,0,4,-396,1,3,28.75,0,4,4,0,31.87,4
0,4,0,4,-396,1,4,28.75,0,5,4,0,31.87,4
2,4,0,4,-396,3,4,28.5,1,3,0,0,30.37,2
0,4,0,6,-394,5,5,28.5,1,4,2,0,30.37,2
0,4,0,6,-394,5,6,28.5,1,5,2,0,30.37,2
0,4,0,6,-394,5,7,28.5,1,6,2,0,30.37,2
0,4,0,6,-394,5,8,28.5,1,7,2,0,30.37,2
0,4,0,6,-394,5,9,28.5,1,8,2,0,30.37,2
0,4,0,6,-394,1,5,28.75,0,6,4,0,31.87,4
0,4,0,6,-394,1,6,28.75,0,7,4,0,31.87,4
0,4,0,6,-394,1,7,28.75,0,8,4,0,31.87,4
2,4,0,6,-394,1,8,28.75,0,9,4,0,31.87,4
0,4,0,8,-392,3,9,28.75,0,10,6,0,31.87,4
0,4,0,8,-392,3,10,28.75,0,11,6,0,31.87,4
0,4,0,8,-392,5,10,28.5,1,0,0,0,26.97,2
0,4,0,8,-392,5,11,28.5,1,1,0,0,26.97,2
0,4,0,8,-392,5,12,28.5,1,2,0,0,26.97,2
0,4,0,8,-392,5,13,28.5,1,3,0,0,26.97,2
0,4,0,8,-392,5,14,28.5,1,4,0,0,26.97,2
0,4,0,8,-392,5,15,28.5,1,5,0,0,26.97,2
0,4,0,8,-392,3,11,28.75,0,12,6,0,31.87,4
0,4,0,8,-392,3,12,28.75,0,13,6,0,31.87,4
0,4,0,8,-392,3,13,28.75,0,14,6,0,31.87,4
1,4,0,8,-392,3,14,28.75,0,15,6,0,31.87,4
0,4,0,9,-391,5,16,28.5,1,16,7,0,31.87,4
0,4,0,9,-391,5,17,28.5,1,17,7,0,31.87,4
0,4,0,9,-391,4,15,28.75,0,6,0,0,26.97,2
0,4,0,9,-391,4,16,28.75,0,7,0,0,26.97,2
0,4,0,9,-391,4,17,28.75,0,8,0,0,26.97,2
2,4,0,9,-391,4,18,28.75,0,9,0,0,26.97,2
0,4,0,11,-389,6,19,28.75,0,10,2,0,26.97,2
0,4,0,11,-389,6,20,28.75,0,11,2,0,26.97,2
4,4,0,11,-389,5,18,28.5,1,0,0,0,21.64,3
0,4,0,15,-385,9,19,28.5,1,1,4,0,21.64,3
0,4,0,15,-385,9,20,28.5,1,2,4,0,21.64,3
0,4,0,15,-385,9,21,28.5,1,3,4,0,21.64,3
0,4,0,15,-385,9,22,28.5,1,4,4,0,21.64,3
0,4,0,15,-385,9,23,28.5,1,5,4,0,21.64,3
0,4,0,15,-385,6,21,28.75,0,12,2,0,26.97,2
0,4,0,15,-385,6,22,28.75,0,13,2,0,26.97,2
0,4,0,15,-385,6,23,28.75,0,14,2,0,26.97,2
1,4,0,15,-385,6,24,28.75,0,15,2,0,26.97,2
0,4,0,16,-384,9,24,28.5,1,16,3,0,26.97,2
0,4,0,16,-384,9,25,28.5,1,17,3,0,26.97,2
1,4,0,16,-384,7,25,28.75,0,6,4,0,21.64,3
0,4,0,17,-383,9,26,28.5,1,7,5,0,21.64,3
0,4,0,17,-383,9,27,28.5,1,8,5,0,21.64,3
0,4,0,17,-383,9,28,28.5,1,9,5,0,21.64,3
W,4,0,17,-383,9,29,28.5,1,10,5,0,21.64,3
0,4,1,17,-383,0,0,48.94,0,11,5,1,21.64,3
0,4,1,17,-383,8,26,28.75,0,18,3,0,26.97,2
0,4,1,17,-383,8,27,28.75,0,19,3,0,26.97,2
1,4,1,17,-383,8,28,28.75,0,20,3,0,26.97,2
0,4,1,18,-382,0,1,48.94,0,21,4,0,26.97,2
0,4,1,18,-382,0,2,48.94,0,22,4,0,26.97,2
0,4,1,18,-382,0,3,48.94,0,23,4,0,26.97,2
0,4,1,18,-382,9,29,28.75,0,12,5,1,21.64,3
0,4,1,18,-382,9,30,28.75,0,13,5,1,21.64,3
0,4,1,18,-382,9,31,28.75,0,14,5,1,21.64,3
0,4,1,18,-382,9,32,28.75,0,15,5,1,21.64,3
0,4,1,18,-382,9,33,28.75,0,16,5,1,21.64,3
1nb,4,1,18,-382,0,4,48.94,0,24,4,0,26.97,2
0,4,1,19,-381,9,34,28.75,0,17,5,1,21.64,3
0,4,1,19,-381,0,4,48.94,0,25,5,0,26.97,2
0,4,1,19,-381,0,5,48.94,0,26,5,0,26.97,2
0,4,1,19,-381,0,6,48.94,0,27,5,0,26.97,2
0,4,1,19,-381,0,7,48.94,0,28,5,0,26.97,2
4,4,1,19,-381,0,8,48.94,0,29,5,0,26.97,2
0,4,1,23,-377,4,9,48.94,0,30,9,0,26.97,2
0,4,1,23,-377,9,35,28.75,0,18,5,1,21.64,3
0,4,1,23,-377,9,36,28.75,0,19,5,1,21.64,3
0,4,1,23,-377,9,37,28.75,0,20,5,1,21.64,3
1,4,1,23,-377,9,38,28.75,0,21,5,1,21.64,3
0,4,1,24,-376,4,10,48.94,0,22,6,1,21.64,3
4,4,1,24,-376,4,11,48.94,0,23,6,1,21.64,3
0,4,1,28,-372,10,39,28.75,0,31,9,0,26.97,2
0,4,1,28,-372,10,40,28.75,0,32,9,0,26.97,2
4,4,1,28,-372,10,41,28.75,0,33,9,0,26.97,2
0,4,1,32,-368,14,42,28.75,0,34,13,0,26.97,2
0,4,1,32,-368,14,43,28.75,0,35,13,0,26.97,2
0,4,1,32,-368,14,44,28.75,0,36,13,0,26.97,2
0,4,1,32,-368,8,12,48.94,0,24,10,1,21.64,3
1nb,4,1,32,-368,8,13,48.94,0,25,10,1,21.64,3
0,4,1,33,-367,8,13,48.94,0,26,11,1,21.64,3
0,4,1,33,-367,8,14,48.94,0,27,11,1,21.64,3
1,4,1,33,-367,8,15,48.94,0,28,11,1,21.64,3
4,4,1,34,-366,14,45,28.75,0,29,12,1,21.64,3
0,4,1,38,-362,18,46,28.75,0,30,16,1,21.64,3
0,4,1,38,-362,9,16,48.94,0,9,2,0,30.37,2
0,4,1,38,-362,9,17,48.94,0,10,2,0,30.37,2
0,4,1,38,-362,9,18,48.94,0,11,2,0,30.37,2
0,4,1,38,-362,9,19,48.94,0,12,2,0,30.37,2
0,4,1,38,-362,9,20,48.94,0,13,2,0,30.37,2
1,4,1,38,-362,9,21,48.94,0,14,2,0,30.37,2
0,4,1,39,-361,10,22,48.94,0,18,7,0,31.87,4
0,4,1,39,-361,10,23,48.94,0,19,7,0,31.87,4
2,4,1,39,-361,10,24,48.94,0,20,7,0,31.87,4
0,4,1,41,-359,12,25,48.94,0,21,9,0,31.87,4
0,4,1,41,-359,12,26,48.94,0,22,9,0,31.87,4
0,4,1,41,-359,12,27,48.94,0,23,9,0,31.87,4
0,4,1,41,-359,18,47,28.75,0,15,3,0,30.37,2
0,4,1,41,-359,18,48,28.75,0,16,3,0,30.37,2
4,4,1,41,-359,18,49,28.75,0,17,3,0,30.37,2
0,4,1,45,-355,22,50,28.75,0,18,7,0,30.37,2
0,4,1,45,-355,22,51,28.75,0,19,7,0,30.37,2
0,4,1,45,-355,22,52,28.75,0,20,7,0,30.37,2
0,4,1,45,-355,12,28,48.94,0,24,9,0,31.87,4
1,4,1,45,-355,12,29,48.94,0,25,9,0,31.87,4
4,4,1,46,-354,22,53,28.75,0,26,10,0,31.87,4
2,4,1,50,-350,26,54,28.75,0,27,14,0,31.87,4
0,4,1,52,-348,28,55,28.75,0,28,16,0,31.87,4
0,4,1,52,-348,28,56,28.75,0,29,16,0,31.87,4
0,4,1,52,-348,13,30,48.94,0,21,7,0,30.37,2
0,4,1,52,-348,13,31,48.94,0,22,7,0,30.37,2
0,4,1,52,-348,13,32,48.94,0,23,7,0,30.37,2
0,4,1,52,-348,13,33,48.94,0,24,7,0,30.37,2
4,4,1,52,-348,13,34,48.94,0,25,7,0,30.37,2
1,4,1,56,-344,17,35,48.94,0,26,11,0,30.37,2
1,4,1,57,-343,18,36,48.94,0,30,16,0,31.87,4
W,4,1,58,-342,28,57,28.75,0,31,17,0,31.87,4
0,4,2,58,-342,0,0,21.75,0,32,17,1,31.87,4
0,4,2,58,-342,0,1,21.75,0,33,17,1,31.87,4
4,4,2,58,-342,0,2,21.75,0,34,17,1,31.87,4
4,4,2,62,-338,4,3,21.75,0,35,21,1,31.87,4
2,4,2,66,-334,19,37,48.94,0,27,12,0,30.37,2
0,4,2,68,-332,21,38,48.94,0,28,14,0,30.37,2
0,4,2,68,-332,21,39,48.94,0,29,14,0,30.37,2
0,4,2,68,-332,21,40,48.94,0,30,14,0,30.37,2
0,4,2,68,-332,21,41,48.94,0,31,14,0,30.37,2
0,4,2,68,-332,21,42,48.94,0,32,14,0,30.37,2
1,4,2,68,-332,8,4,21.75,0,36,25,1,31.87,4
0,4,2,69,-331,21,43,48.94,0,37,26,1,31.87,4
1,4,2,69,-331,21,44,48.94,0,38,26,1,31.87,4
0,4,2,70,-330,9,5,21.75,0,39,27,1,31.87,4
1,4,2,70,-330,9,6,21.75,0,40,27,1,31.87,4
4b,4,2,71,-329,22,45,48.94,0,41,28,1,31.87,4
0,4,2,75,-325,10,7,21.75,0,33,14,0,30.37,2
0,4,2,75,-325,10,8,21.75,0,34,14,0,30.37,2
0,4,2,75,-325,10,9,21.75,0,35,14,0,30.37,2
0,4,2,75,-325,10,10,21.75,0,36,14,0,30.37,2
0,4,2,75,-325,10,11,21.75,0,37,14,0,30.37,2
0,4,2,75,-325,10,12,21.75,0,38,14,0,30.37,2
1,4,2,75,-325,22,46,48.94,0,42,28,1,31.87,4
1,4,2,76,-324,10,13,21.75,0,43,29,1,31.87,4
1,4,2,77,-323,23,47,48.94,0,44,30,1,31.87,4
0,4,2,78,-322,11,14,21.75,0,45,31,1,31.87,4
W,4,2,78,-322,11,15,21.75,0,46,31,1,31.87,4
0,4,3,78,-322,0,0,34.56,0,47,31,2,31.87,4
0,4,3,78,-322,24,48,48.94,0,39,14,0,30.37,2
1,4,3,78,-322,24,49,48.94,0,40,14,0,30.37,2
1,4,3,79,-321,0,1,34.56,0,41,15,0,30.37,2
0,4,3,80,-320,25,50,48.94,0,42,16,0,30.37,2
0,4,3,80,-320,25,51,48.94,0,43,16,0,30.37,2
2,4,3,80,-320,25,52,48.94,0,44,16,0,30.37,2
0,4,3,82,-318,1,2,34.56,0,48,31,2,31.87,4
0,4,3,82,-318,1,3,34.56,0,49,31,2,31.87,4
0,4,3,82,-318,1,4,34.56,0,50,31,2,31.87,4
0,4,3,82,-318,1,5,34.56,0,51,31,2,31.87,4
0,4,3,82,-318,1,6,34.56,0,52,31,2,31.87,4
0,4,3,82,-318,1,7,34.56,0,53,31,2,31.87,4
1,4,3,82,-318,27,53,48.94,0,31,16,1,21.64,3
0,4,3,83,-317,1,8,34.56,0,32,17,1,21.64,3
0,4,3,83,-317,1,9,34.56,0,33,17,1,21.64,3
0,4,3,83,-317,1,10,34.56,0,34,17,1,21.64,3
0,4,3,83,-317,1,11,34.56,0,35,17,1,21.64,3
0,4,3,83,-317,1,12,34.56,0,36,17,1,21.64,3
W,4,3,83,-317,28,54,48.94,0,54,31,2,31.87,4
0,4,4,83,-317,0,0,33.76,1,55,31,3,31.87,4
0,4,4,83,-317,0,1,33.76,1,56,31,3,31.87,4
0,4,4,83,-317,0,2,33.76,1,57,31,3,31.87,4
0,4,4,83,-317,0,3,33.76,1,58,31,3,31.87,4
0,4,4,83,-317,0,4,33.76,1,59,31,3,31.87,4
0,4,4,83,-317,1,13,34.56,0,37,17,1,21.64,3
0,4,4,83,-317,1,14,34.56,0,38,17,1,21.64,3
0,4,4,83,-317,1,15,34.56,0,39,17,1,21.64,3
0,4,4,83,-317,1,16,34.56,0,40,17,1,21.64,3
0,4,4,83,-317,1,17,34.56,0,41,17,1,21.64,3
0,4,4,83,-317,1,18,34.56,0,42,17,1,21.64,3
0,4,4,83,-317,0,5,33.76,1,60,31,3,31.87,4
0,4,4,83,-317,0,6,33.76,1,61,31,3,31.87,4
0,4,4,83,-317,0,7,33.76,1,62,31,3,31.87,4
0,4,4,83,-317,0,8,33.76,1,63,31,3,31.87,4
0,4,4,83,-317,0,9,33.76,1,64,31,3,31.87,4
0,4,4,83,-317,0,10,33.76,1,65,31,3,31.87,4
0,4,4,83,-317,1,19,34.56,0,43,17,1,21.64,3
0,4,4,83,-317,1,20,34.56,0,44,17,1,21.64,3
0,4,4,83,-317,1,21,34.56,0,45,17,1,21.64,3
0,4,4,83,-317,1,22,34.56,0,46,17,1,21.64,3
0,4,4,83,-317,1,23,34.56,0,47,17,1,21.64,3
W,4,4,83,-317,1,24,34.56,0,48,17,1,21.64,3
0,4,5,83,-317,0,11,33.76,1,66,31,3,31.87,4
0,4,5,83,-317,0,12,33.76,1,67,31,3,31.87,4
1,4,5,83,-317,0,13,33.76,1,68,31,3,31.87,4
1,4,5,84,-316,0,0,35.7,0,69,32,3,31.87,4
0,4,5,85,-315,1,14,33.76,1,70,33,3,31.87,4
1,4,5,85,-315,1,15,33.76,1,71,33,3,31.87,4
0,4,5,86,-314,2,16,33.76,1,49,17,2,21.64,3
4,4,5,86,-314,2,17,33.76,1,50,17,2,21.64,3
0,4,5,90,-310,6,18,33.76,1,51,21,2,21.64,3
0,4,5,90,-310,6,19,33.76,1,52,21,2,21.64,3
0,4,5,90,-310,6,20,33.76,1,53,21,2,21.64,3
0,4,5,90,-310,6,21,33.76,1,54,21,2,21.64,3
1,4,5,90,-310,1,1,35.7,0,72,34,3,31.87,4
0,4,5,91,-309,6,22,33.76,1,73,35,3,31.87,4
0,4,5,91,-309,6,23,33.76,1,74,35,3,31.87,4
0,4,5,91,-309,6,24,33.76,1,75,35,3,31.87,4
0,4,5,91,-309,6,25,33.76,1,76,35,3,31.87,4
0,4,5,91,-309,6,26,33.76,1,77,35,3,31.87,4
0,4,5,91,-309,2,2,35.7,0,55,21,2,21.64,3
4,4,5,91,-309,2,3,35.7,0,56,21,2,21.64,3
0,4,5,95,-305,6,4,35.7,0,57,25,2,21.64,3
