outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bat_arm,bowl_balls,bowl_runs,bowl_wkts,bowl_avg,bowl_type
0,1,0,0,0,0,0,40.88,0,0,0,0,33.09,4
1,1,0,0,0,0,1,40.88,0,1,0,0,33.09,4
1,1,0,1,1,0,0,25.94,1,2,1,0,33.09,4
0,1,0,2,2,1,2,40.88,0,3,2,0,33.09,4
0,1,0,2,2,1,1,25.94,1,0,0,0,28.35,9
0,1,0,2,2,1,2,25.94,1,1,0,0,28.35,9
0,1,0,2,2,1,3,25.94,1,2,0,0,28.35,9
0,1,0,2,2,1,4,25.94,1,3,0,0,28.35,9
0,1,0,2,2,1,5,25.94,1,4,0,0,28.35,9
0,1,0,2,2,1,6,25.94,1,5,0,0,28.35,9
1,1,0,2,2,1,3,40.88,0,4,2,0,33.09,4
W,1,0,3,3,1,7,25.94,1,5,3,0,33.09,4
0,1,1,3,3,0,0,8.18,0,6,3,1,33.09,4
0,1,1,3,3,0,1,8.18,0,7,3,1,33.09,4
0,1,1,3,3,0,2,8.18,0,8,3,1,33.09,4
0,1,1,3,3,0,3,8.18,0,9,3,1,33.09,4
0,1,1,3,3,2,4,40.88,0,0,0,0,20.86,10
0,1,1,3,3,2,5,40.88,0,1,0,0,20.86,10
0,1,1,3,3,2,6,40.88,0,2,0,0,20.86,10
1,1,1,3,3,2,7,40.88,0,3,0,0,20.86,10
0,1,1,4,4,0,4,8.18,0,4,1,0,20.86,10
0,1,1,4,4,0,5,8.18,0,5,1,0,20.86,10
W,1,1,4,4,3,8,40.88,0,10,3,1,33.09,4
W,1,2,4,4,0,0,8.45,0,11,3,2,33.09,4
