urlEnd,Team1,Team2,Venue,Country,StartDate,TossWin,TossElect,Score1,Score2,Score3,Score4,Winner,Margin
63932,ENG,PAK,Lord's,ENG,17 May 2001,PAK,bowl,391,203,179 (f/o),-,ENG,an innings and 9 runs
63933,PAK,ENG,Manchester,ENG,31 May 2001,PAK,bat,403,357,323,261,PAK,108 runs
63936,ENG,AUS,Birmingham,ENG,5 Jul 2001,AUS,bowl,294,576,164,-,AUS,an innings and 118 runs
63937,ENG,AUS,Lord's,ENG,19 Jul 2001,AUS,bowl,187,401,227,14/2,AUS,8 wickets
63938,ENG,AUS,Nottingham,ENG,2 Aug 2001,ENG,bat,185,190,162,158/3,AUS,7 wickets
63939,AUS,ENG,Leeds,ENG,16 Aug 2001,AUS,bat,447,309,176/4d,315/4,ENG,6 wickets
63940,AUS,ENG,The Oval,ENG,23 Aug 2001,AUS,bat,641/4d,432,184 (f/o),-,AUS,an innings and 25 runs
63990,SRL,ENG,Lord's,ENG,16 May 2002,SRL,bat,555/8d,275,529/5d (f/o),42/1,draw,-
63991,SRL,ENG,Birmingham,ENG,30 May 2002,ENG,bowl,162,545,272,-,ENG,an innings and 111 runs
63992,ENG,SRL,Manchester,ENG,13 Jun 2002,ENG,bat,512,253,308 (f/o),50/0,ENG,10 wickets
63997,ENG,IND,Lord's,ENG,25 Jul 2002,ENG,bat,487,221,301/6d,397,ENG,170 runs
63998,IND,ENG,Nottingham,ENG,8 Aug 2002,IND,bat,357,617,424/8d,-,draw,-
63999,IND,ENG,Leeds,ENG,22 Aug 2002,IND,bat,628/8d,273,309 (f/o),-,IND,an innings and 46 runs
64000,ENG,IND,The Oval,ENG,5 Sep 2002,ENG,bat,515,508,114/0,-,draw,-
64032,ENG,ZIM,Lord's,ENG,22 May 2003,ZIM,bowl,472,147,233 (f/o),-,ENG,an innings and 92 runs
64033,ENG,ZIM,Chester-le-Street,ENG,5 Jun 2003,ENG,bat,416,94,253 (f/o),-,ENG,an innings and 69 runs
64038,RSA,ENG,Birmingham,ENG,24 Jul 2003,RSA,bat,594/5d,408,134/4d,110/1,draw,-
64039,ENG,RSA,Lord's,ENG,31 Jul 2003,RSA,bowl,173,682/6d,417,-,RSA,an innings and 92 runs
64040,ENG,RSA,Nottingham,ENG,14 Aug 2003,ENG,bat,445,362,118,131,ENG,70 runs
64041,RSA,ENG,Leeds,ENG,21 Aug 2003,RSA,bat,342,307,365,209,RSA,191 runs
64042,RSA,ENG,The Oval,ENG,4 Sep 2003,RSA,bat,484,604/9d,229,110/1,ENG,9 wickets
64086,NZL,ENG,Lord's,ENG,20 May 2004,NZL,bat,386,441,336,282/3,ENG,7 wickets
64087,NZL,ENG,Leeds,ENG,3 Jun 2004,ENG,bowl,409,526,161,45/1,ENG,9 wickets
64088,NZL,ENG,Nottingham,ENG,10 Jun 2004,NZL,bat,384,319,218,284/6,ENG,4 wickets
64093,ENG,WIN,Lord's,ENG,22 Jul 2004,WIN,bowl,568,416,325/5d,267,ENG,210 runs
64094,ENG,WIN,Birmingham,ENG,29 Jul 2004,ENG,bat,566/9d,336,248,222,ENG,256 runs
64095,WIN,ENG,Manchester,ENG,12 Aug 2004,WIN,bat,395,330,165,231/3,ENG,7 wickets
64096,ENG,WIN,The Oval,ENG,19 Aug 2004,ENG,bat,470,152,318 (f/o),4/0,ENG,10 wickets
209929,BAN,ENG,Lord's,ENG,26 May 2005,ENG,bowl,108,528/3d,159,-,ENG,an innings and 261 runs
210366,BAN,ENG,Chester-le-Street,ENG,3 Jun 2005,ENG,bowl,104,447/3d,316,-,ENG,an innings and 27 runs
213856,AUS,ENG,Lord's,ENG,21 Jul 2005,AUS,bat,190,155,384,180,AUS,239 runs
215010,ENG,AUS,Birmingham,ENG,4 Aug 2005,AUS,bowl,407,308,182,279,ENG,2 runs
215686,ENG,AUS,Manchester,ENG,11 Aug 2005,ENG,bat,444,302,280/6d,371/9,draw,-
216994,ENG,AUS,Nottingham,ENG,25 Aug 2005,ENG,bat,477,218,387 (f/o),129/7,ENG,3 wickets
218383,ENG,AUS,The Oval,ENG,8 Sep 2005,ENG,bat,373,367,335,4/0,draw,-
225264,ENG,SRL,Lord's,ENG,11 May 2006,ENG,bat,551/6d,192,537/9 (f/o),-,draw,-
225265,SRL,ENG,Birmingham,ENG,25 May 2006,SRL,bat,141,295,231,81/4,ENG,6 wickets
225266,SRL,ENG,Nottingham,ENG,2 Jun 2006,SRL,bat,231,229,322,190,SRL,134 runs
225255,ENG,PAK,Lord's,ENG,13 Jul 2006,ENG,bat,528/9d,445,296/8d,214/4,draw,-
225256,PAK,ENG,Manchester,ENG,27 Jul 2006,PAK,bat,119,461/9d,222,-,ENG,an innings and 120 runs
225257,ENG,PAK,Leeds,ENG,4 Aug 2006,ENG,bat,515,538,345,155,ENG,167 runs
258459,ENG,WIN,Lord's,ENG,17 May 2007,WIN,bowl,553/5d,437,284/8d,89/0,draw,-
258460,ENG,WIN,Leeds,ENG,25 May 2007,ENG,bat,570/7d,146,141 (f/o),-,ENG,an innings and 283 runs
258461,ENG,WIN,Manchester,ENG,7 Jun 2007,ENG,bat,370,229,313,394,ENG,60 runs
258462,WIN,ENG,Chester-le-Street,ENG,15 Jun 2007,ENG,bowl,287,400,222,111/3,ENG,7 wickets
258468,ENG,IND,Lord's,ENG,19 Jul 2007,ENG,bat,298,201,282,282/9,draw,-
258469,ENG,IND,Nottingham,ENG,27 Jul 2007,IND,bowl,198,481,355,73/3,IND,7 wickets
258470,IND,ENG,The Oval,ENG,9 Aug 2007,IND,bat,664,345,180/6d,369/6,draw,-
296900,NZL,ENG,Lord's,ENG,15 May 2008,ENG,bowl,277,319,269/6,-,draw,-
296901,NZL,ENG,Manchester,ENG,23 May 2008,NZL,bat,381,202,114,294/4,ENG,6 wickets
296902,ENG,NZL,Nottingham,ENG,5 Jun 2008,NZL,bowl,364,123,232 (f/o),-,ENG,an innings and 9 runs
296909,ENG,RSA,Lord's,ENG,10 Jul 2008,RSA,bowl,593/8d,247,393/3d (f/o),-,draw,-
296910,ENG,RSA,Leeds,ENG,18 Jul 2008,RSA,bowl,203,522,327,9/0,RSA,10 wickets
296911,ENG,RSA,Birmingham,ENG,30 Jul 2008,ENG,bat,231,314,363,283/5,RSA,5 wickets
296912,RSA,ENG,The Oval,ENG,7 Aug 2008,RSA,bat,194,316,318,198/4,ENG,6 wickets
380712,ENG,WIN,Lord's,ENG,6 May 2009,WIN,bowl,377,152,256 (f/o),32/0,ENG,10 wickets
380713,ENG,WIN,Chester-le-Street,ENG,14 May 2009,ENG,bat,569/6d,310,176 (f/o),-,ENG,an innings and 83 runs
345970,ENG,AUS,Cardiff,ENG,8 Jul 2009,ENG,bat,435,674/6d,252/9,-,draw,-
345971,ENG,AUS,Lord's,ENG,16 Jul 2009,ENG,bat,425,215,311/6d,406,ENG,115 runs
345972,AUS,ENG,Birmingham,ENG,30 Jul 2009,AUS,bat,263,376,375/5,-,draw,-
345973,ENG,AUS,Leeds,ENG,7 Aug 2009,ENG,bat,102,445,263,-,AUS,an innings and 80 runs
345974,ENG,AUS,The Oval,ENG,20 Aug 2009,ENG,bat,332,160,373/9d,348,ENG,197 runs
426401,ENG,BAN,Lord's,ENG,27 May 2010,BAN,bowl,505,282,382 (f/o),163/2,ENG,8 wickets
426402,ENG,BAN,Manchester,ENG,4 Jun 2010,ENG,bat,419,216,123 (f/o),-,ENG,an innings and 80 runs
426394,AUS,PAK,Lord's,ENG,13 Jul 2010,PAK,bowl,253,148,334,289,AUS,150 runs
426395,AUS,PAK,Leeds,ENG,21 Jul 2010,AUS,bat,88,258,349,180/7,PAK,3 wickets
426413,ENG,PAK,Nottingham,ENG,29 Jul 2010,ENG,bat,354,182,262/9d,80,ENG,354 runs
426414,PAK,ENG,Birmingham,ENG,6 Aug 2010,PAK,bat,72,251,296,118/1,ENG,9 wickets
426415,ENG,PAK,The Oval,ENG,18 Aug 2010,ENG,bat,233,308,222,148/6,PAK,4 wickets
426416,ENG,PAK,Lord's,ENG,26 Aug 2010,PAK,bowl,446,74,147 (f/o),-,ENG,an innings and 225 runs
474463,SRL,ENG,Cardiff,ENG,26 May 2011,SRL,bat,400,496/5d,82,-,ENG,an innings and 14 runs
474464,ENG,SRL,Lord's,ENG,3 Jun 2011,SRL,bowl,486,479,335/7d,127/3,draw,-
474465,SRL,ENG,Southampton,ENG,16 Jun 2011,ENG,bowl,184,377/8d,334/5,-,draw,-
474472,ENG,IND,Lord's,ENG,21 Jul 2011,IND,bowl,474/8d,286,269/6d,261,ENG,196 runs
474473,ENG,IND,Nottingham,ENG,29 Jul 2011,IND,bowl,221,288,544,158,ENG,319 runs
474474,IND,ENG,Birmingham,ENG,10 Aug 2011,ENG,bowl,224,710/7d,244,-,ENG,an innings and 242 runs
474475,ENG,IND,The Oval,ENG,18 Aug 2011,ENG,bat,591/6d,300,283 (f/o),-,ENG,an innings and 8 runs
534205,WIN,ENG,Lord's,ENG,17 May 2012,ENG,bowl,243,398,345,193/5,ENG,5 wickets
534206,WIN,ENG,Nottingham,ENG,25 May 2012,WIN,bat,370,428,165,111/1,ENG,9 wickets
534207,WIN,ENG,Birmingham,ENG,7 Jun 2012,ENG,bowl,426,221/5,-,-,draw,-
534225,ENG,RSA,The Oval,ENG,19 Jul 2012,ENG,bat,385,637/2d,240,-,RSA,an innings and 12 runs
534226,RSA,ENG,Leeds,ENG,2 Aug 2012,ENG,bowl,419,425,258/9d,130/4,draw,-
534227,RSA,ENG,Lord's,ENG,16 Aug 2012,RSA,bat,309,315,351,294,RSA,51 runs
566921,ENG,NZL,Lord's,ENG,16 May 2013,ENG,bat,232,207,213,68,ENG,170 runs
566922,ENG,NZL,Leeds,ENG,24 May 2013,ENG,bat,354,174,287/5d,220,ENG,247 runs
566932,ENG,AUS,Nottingham,ENG,10 Jul 2013,ENG,bat,215,280,375,296,ENG,14 runs
566933,ENG,AUS,Lord's,ENG,18 Jul 2013,ENG,bat,361,128,349/7d,235,ENG,347 runs
566934,AUS,ENG,Manchester,ENG,1 Aug 2013,AUS,bat,527/7d,368,172/7d,37/3,draw,-
566935,ENG,AUS,Chester-le-Street,ENG,9 Aug 2013,ENG,bat,238,270,330,224,ENG,74 runs
566936,AUS,ENG,The Oval,ENG,21 Aug 2013,AUS,bat,492/9d,377,111/6d,206/5,draw,-
667899,ENG,SRL,Lord's,ENG,12 Jun 2014,SRL,bowl,575/9d,453,267/8d,201/9,draw,-
667901,SRL,ENG,Leeds,ENG,20 Jun 2014,ENG,bowl,257,365,457,249,SRL,100 runs
667711,IND,ENG,Nottingham,ENG,9 Jul 2014,IND,bat,457,496,391/9d,-,draw,-
667713,IND,ENG,Lord's,ENG,17 Jul 2014,ENG,bowl,295,319,342,223,IND,95 runs
