fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
Varun Aaron,VR Aaron,INDIA,14,3.88,31.81,1189,52.61,4.77,66,Right-hand bat,Right-arm fast
Kyle Abbott,KJ Abbott,SA,14,6.78,28.1,2081,22.71,2.55,53.3,Right-hand bat,Right-arm fast-medium
Abdul Razzaq,Abdul Razzaq,PAK,59,30.68,44.43,5011,35.82,3.38,63.4,Right-hand bat,Right-arm fast-medium
Abdur Rauf,Abdur Rauf,PAK,6,8.66,30.95,450,46.33,3.7,75,Right-hand bat,Right-arm fast-medium
Abdur Razzak,Abdur Razzak,BDESH,22,15.5,64.92,3015,59.75,3.32,107.6,Left-hand bat,Slow left-arm orthodox
Abdur Rehman,Abdur Rehman,PAK,31,14.1,42.42,6892,29.39,2.53,69.6,Left-hand bat,Slow left-arm orthodox
Abid Ali,Abid Ali,PAK,4,107,57.94,-,-,-,-,Right-hand bat,Legbreak
Abul Hasan,Abul Hasan,BDESH,5,82.5,59.35,528,123.66,4.21,176,Left-hand bat,Right-arm medium-fast
Abu Jayed,Abu Jayed,BDESH,16,2.7,25.96,1394,32.45,3.35,58,Right-hand bat,Right-arm fast-medium
Mark Adair,MR Adair,IRE,2,5.5,45.83,166,16.33,3.54,27.6,Right-hand bat,Right-arm fast
Andre Adams,AR Adams,NZ,2,9,90,190,17.5,3.31,31.6,Right-hand bat,Right-arm fast-medium
Jimmy Adams,JC Adams,WI,2,7.5,39.47,100,-,3.24,-,Left-hand bat,Slow left-arm orthodox
Paul Adams,PR Adams,SA,16,14.16,42.6,2441,35.97,3.53,61,Right-hand bat,Slow left-arm chinaman
Adnan Akmal,Adnan Akmal,PAK,29,24.62,44.07,-,-,-,-,Right-hand bat,-
Afsar Zazai,Afsar Zazai,AFG,6,27,39.94,-,-,-,-,Right-hand bat,-
Aftab Ahmed,Aftab Ahmed,BDESH,31,20.78,49.61,344,47.4,4.13,68.8,Right-hand bat,Right-arm medium
Usman Afzaal,U Afzaal,ENG,6,16.6,60.58,54,49,5.44,54,Left-hand bat,Slow left-arm orthodox
Ashton Agar,AC Agar,AUS,7,32.5,55.55,874,45.55,2.81,97.1,Left-hand bat,Slow left-arm orthodox
Ajit Agarkar,AB Agarkar,INDIA,27,19.69,56.13,3159,52.83,3.71,85.3,Right-hand bat,Right-arm fast
Mayank Agarwal,MA Agarwal,INDIA,17,57.29,55.97,-,-,-,-,Right-hand bat,-
Ahmed Shehzad,Ahmed Shehzad,PAK,25,40.91,50.98,48,-,3.5,-,Right-hand bat,Legbreak
Aizaz Cheema,Aizaz Cheema,PAK,5,-,4.34,1200,31.9,3.19,60,Right-hand bat,Right-arm medium-fast
Akram Khan,Akram Khan,BDESH,14,15.85,37.18,-,-,-,-,Right-hand bat,Right-arm medium
Alamgir Kabir,Alamgir Kabir,BDESH,5,2,9.3,261,-,5.08,-,Right-hand bat,Right-arm medium-fast
Kabir Ali,Kabir Ali,ENG,2,5,35.71,216,27.2,3.77,43.2,Right-hand bat,Right-arm medium-fast
Moeen Ali,MM Ali,ENG,104,28.97,51.12,10972,36.59,3.62,60.6,Left-hand bat,Right-arm offbreak
Alok Kapali,Alok Kapali,BDESH,34,17.69,48.62,1103,118.16,3.85,183.8,Right-hand bat,Legbreak
Al-Amin Hossain,Al-Amin Hossain,BDESH,11,22.5,70.86,1016,60.55,3.21,112.8,Right-hand bat,Right-arm medium-fast
Al Sahariar,Al Sahariar,BDESH,28,23.75,52.03,-,-,-,-,Right-hand bat,Legbreak
Sunil Ambris,SW Ambris,WI,12,15.09,46.62,-,-,-,-,Right-hand bat,-
Tim Ambrose,TR Ambrose,ENG,16,29.8,46.41,-,-,-,-,Right-hand bat,-
Ishara Amerasinghe,MKDI Amerasinghe,SL,2,-,0,150,105,4.2,150,Right-hand bat,Right-arm fast-medium
Aminul Islam,Aminul Islam,BDESH,24,16.47,33.86,198,149,4.51,198,Right-hand bat,Right-arm offbreak
Amir Hamza,Amir Hamza,AFG,2,17.5,36.45,185,13.16,2.56,30.8,Right-hand bat,Slow left-arm orthodox
Hashim Amla,HM Amla,SA,215,46.64,49.97,54,-,4.11,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Anamul Haque,Anamul Haque,BDESH,8,9.12,33.18,-,-,-,-,Right-hand bat,-
Corey Anderson,CJ Anderson,NZ,22,32.52,56.86,1302,41.18,3.03,81.3,Left-hand bat,Left-arm medium-fast
James Anderson,JM Anderson,ENG,215,9.68,39.92,33163,26.85,2.86,56.3,Left-hand bat,Right-arm fast-medium
Zafar Ansari,ZS Ansari,ENG,5,9.8,36.02,408,55,4.04,81.6,Left-hand bat,Slow left-arm orthodox
Anwar Hossain Monir,Anwar Hossain Monir,BDESH,6,7.33,30.13,348,-,5.29,-,Right-hand bat,Right-arm fast-medium
Anwar Hossain,Anwar Hossain,BDESH,2,7,31.81,-,-,-,-,Right-hand bat,-
Jofra Archer,JC Archer,ENG,15,8.2,50.82,2040,30.11,3.01,60,Right-hand bat,Right-arm fast
Ariful Haque,Ariful Haque,BDESH,4,29.33,55.34,66,24,2.18,66,Right-hand bat,Right-arm medium-fast
Brent Arnel,BJ Arnel,NZ,12,5.62,30.4,1008,62.88,3.36,112,Right-hand bat,Right-arm medium-fast
Russel Arnold,RP Arnold,SL,33,25.09,49.11,338,42,2.98,84.5,Left-hand bat,Right-arm offbreak
Arshad Khan,Arshad Khan,PAK,1,-,16.66,252,54,2.57,126,Right-hand bat,Right-arm offbreak
Asad Shafiq,Asad Shafiq,PAK,123,39.25,48.63,298,86,3.46,149,Right-hand bat,Right-arm offbreak
Asghar Afghan,Asghar Afghan,AFG,7,35.57,53.77,12,-,8,-,Right-hand bat,Right-arm medium-fast
Ravichandran Ashwin,R Ashwin,INDIA,98,28.1,54.61,19586,25.43,2.84,53.6,Right-hand bat,Right-arm offbreak
Asim Kamal,Asim Kamal,PAK,20,37.73,47.23,-,-,-,-,Left-hand bat,Right-arm offbreak
Nathan Astle,NJ Astle,NZ,61,37.42,54.39,2075,35.63,2.26,94.3,Right-hand bat,Right-arm medium
Todd Astle,TD Astle,NZ,6,19.6,38.13,667,52.57,3.31,95.2,Right-hand bat,Legbreak
Marvan Atapattu,MS Atapattu,SL,87,42.6,46.82,-,-,-,-,Right-hand bat,Legbreak
Mike Atherton,MA Atherton,ENG,19,23.57,37.17,-,-,-,-,Right-hand bat,Legbreak
Ryan Austin,RA Austin,WI,4,9.75,18.05,326,51.66,2.85,108.6,Right-hand bat,Right-arm offbreak
Azhar Ali,Azhar Ali,PAK,147,42.58,41.89,854,76.37,4.29,106.7,Right-hand bat,Legbreak
