dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Mohammad Sanuth,ME Sanuth,OMAN,2,23.00,117.94,1189.0,52.61,4.77,66.0,Left-hand bat,Right-arm offbreak
1,Nosthush Kenjige,NP Kenjige,USA,3,7.00,116.66,2081.0,22.71,2.55,53.3,Right-hand bat,Slow left-arm orthodox
2,Aamer Yamin,Aamer Yamin,PAK,3,95.00,98.95,5011.0,35.82,3.38,63.4,Right-hand bat,Right-arm medium
3,Aamir Kaleem,Aamir Kaleem,OMAN,1,13.00,81.25,450.0,46.33,3.70,75.0,Left-hand bat,Slow left-arm orthodox
4,Aarif Sheikh,Aarif Sheikh,NEPAL,9,16.25,52.63,3015.0,59.75,3.32,107.6,Right-hand bat,Right-arm medium
5,Varun Aaron,VR Aaron,INDIA,3,8.00,53.33,6892.000000000001,29.39,2.53,69.6,Right-hand bat,Right-arm fast
6,Aaron Jones,Aaron Jones,USA,13,34.66,64.39,-,-,-,-,Right-hand bat,Legbreak googly
7,Josephat Ababu,JS Ababu,KENYA,4,9.00,40.00,528.0,123.66,4.21,176.0,Right-hand bat,Right-arm fast-medium
8,Kyle Abbott,KJ Abbott,SA,13,8.44,60.31,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm fast-medium
9,Sean Abbott,SA Abbott,AUS,1,3.00,42.85,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm fast-medium
10,Abdullah Mazari,Abdullah Mazari,AFG,1,3.00,18.75,190.0,17.50,3.31,31.6,Left-hand bat,Slow left-arm orthodox
11,Abdul Jabbar,Abdul Jabbar,CAN,2,29.50,71.95,99.99999999999999,-,3.24,-,Right-hand bat,Right-arm medium
12,Abdul Razzaq,Abdul Razzaq,Asia/PAK,170,31.11,86.02,2441.0,35.97,3.53,61.0,Right-hand bat,Right-arm fast-medium
13,Abdul Rehman,Abdul Rehman,UAE,1,1.00,7.69,-,-,-,-,Right-hand bat,-
14,Abdul Shakoor,Abdul Shakoor,UAE,3,18.00,52.94,-,-,-,-,Right-hand bat,-
15,Abdur Rauf,Abdur Rauf,PAK,-,-,-,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm fast-medium
16,Abdur Razzak,Abdur Razzak,BDESH,97,13.43,76.37,54.0,49.00,5.44,54.0,Left-hand bat,Slow left-arm orthodox
17,Abdur Rehman,Abdur Rehman,PAK,23,8.35,53.99,874.0,45.55,2.81,97.1,Left-hand bat,Slow left-arm orthodox
18,Abid Ali,Abid Ali,PAK,4,47.75,97.44,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,Legbreak
19,Abul Hasan,Abul Hasan,BDESH,3,3.66,68.75,-,-,-,-,Left-hand bat,Right-arm medium-fast
20,Abu Hider,Abu Hider,BDESH,1,1.00,9.09,48.0,-,3.50,-,Right-hand bat,Left-arm fast-medium
21,Abu Jayed,Abu Jayed,BDESH,-,-,-,1200.0,31.90,3.19,60.0,Right-hand bat,Right-arm fast-medium
